Country Name,Country Code,Year,Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Agricultural land (% of land area),CO2 emissions (metric tons per capita),Forest rents (% of GDP),GDP growth (annual %),GDP per capita (current US$),"Immunization, DPT (% of children ages 12-23 months)","Industry (including construction), value added (% of GDP)",Mobile cellular subscriptions (per 100 people)
Brazil,BRA,2001,96.016528,85.862,27.32990833,1.792112278,0.509251685,1.389896401,3142.235528,98.0,22.63952791,16.13010807
Brazil,BRA,2002,96.652996,81.978,27.3423154,1.760651244,0.681429263,3.053461859,2824.715396,99.0,22.49532782,19.32713015
Brazil,BRA,2003,96.980098,78.704,27.35472246,1.701852536,0.724539472,1.140828998,3056.64968,99.0,23.08381782,25.39202175
Brazil,BRA,2004,96.765107,78.351,27.36712953,1.778441244,0.517651208,5.759964637,3623.223905,99.0,24.30662329,35.51552318
Brazil,BRA,2005,97.093513,77.864,27.3795366,1.775662922,0.422735364,3.202132061,4773.26848,99.0,24.17257828,46.15180215
Brazil,BRA,2006,97.594314,75.657,27.39257777,1.777477957,0.45830829,3.961988711,5866.024313,99.0,23.54402167,52.91720162
Brazil,BRA,2007,98.125382,73.105,27.47881706,1.847975736,0.447859779,6.069870607,7323.19034,99.0,23.12538041,63.4135915
Brazil,BRA,2008,98.526625,69.789,27.56505634,1.939215274,0.40939251,5.094195447,8801.759475,99.0,23.08529376,78.18528647
Brazil,BRA,2009,98.856938,67.881,27.65129562,1.799328142,0.424208814,-0.125812002,8569.901805,99.0,21.87859263,87.07984742
Brazil,BRA,2010,98.6,66.179,27.73753491,2.026605669,0.493004546,7.528225818,11249.29374,99.0,23.26797735,100.293596
Brazil,BRA,2011,99.328691,65.23,27.82377419,2.11062776,0.421846673,3.974423079,13200.55817,99.0,23.10205097,118.2517092
Brazil,BRA,2012,99.519494,63.675,27.91001347,2.271417684,0.459624079,1.921175986,12327.51556,95.0,22.13364737,124.1756934
Brazil,BRA,2013,99.575151,62.936,27.99625275,2.413446537,0.51411681,3.004822669,12258.56485,97.0,21.22480995,134.3929329
Brazil,BRA,2014,99.650247,63.12,28.08249204,2.51459196,0.527974362,0.50395574,12071.40465,93.0,20.47246275,137.9776265
Brazil,BRA,2015,99.710902,62.434,28.16873132,2.365360621,0.693497348,-3.545763393,8783.214413,96.0,19.36004398,125.6477067
Brazil,BRA,2016,99.7,57.88,28.2549706,2.161259847,0.799001694,-3.275916908,8680.735421,89.0,18.35475828,117.9869738
Brazil,BRA,2017,99.8,55.566,28.34106631,2.185486619,0.745436739,1.322869054,9896.717511,89.0,18.18850231,106.1217992
Brazil,BRA,2018,99.7,53.436,28.41562848,2.064261479,0.804438385,1.783666762,9121.020092,87.0,18.74905145,99.64002652
Brazil,BRA,2019,99.8,50.015,28.4901295,2.050770129,0.663749455,1.220777824,8845.323931,70.0,18.75462758,95.38505233
Brazil,BRA,2020,99.70271301,46.296,28.56461856,1.942523356,0.952656139,-3.276758796,6923.700197,77.0,19.5061184,96.54706819
China,CHN,2001,96.98531342,12.917,55.75787186,2.774762197,0.210789669,8.335733478,1053.112272,86.0,44.79341234,11.37860424
China,CHN,2002,97.21701813,12.814,55.82113207,2.964821228,0.20640258,9.13363079,1148.514188,86.0,44.45056753,16.08250443
China,CHN,2003,97.44718933,12.675,55.88438929,3.434036479,0.240689051,10.03803048,1288.637543,86.0,45.62278485,20.94488156
China,CHN,2004,97.68283081,12.528,55.94764475,3.945154871,0.188707219,10.11362138,1508.667946,87.0,45.90021167,25.81891467
China,CHN,2005,97.93093872,13.389,56.01090318,4.467696361,0.143362505,11.39459181,1753.414263,87.0,47.02257848,30.14865123
China,CHN,2006,98.19830322,13.712,56.07415984,4.910276197,0.138537981,12.72095567,2099.219342,93.0,47.55739757,35.11253649
China,CHN,2007,98.4865036,14.324,56.1374177,5.306368006,0.182953177,14.23086093,2693.958555,93.0,46.88416923,41.41509824
China,CHN,2008,98.79193878,15.141,56.20067197,5.435079096,0.225378563,9.65067892,3468.327063,97.0,46.97117236,48.20785124
China,CHN,2009,99.11075592,15.998,56.26392504,5.798319938,0.199418441,9.398725632,3832.227428,99.0,45.95714729,55.79864972
China,CHN,2010,99.7,15.908,56.18347308,6.335419767,0.188631847,10.63587106,4550.473924,99.0,46.49783114,63.71521287
China,CHN,2011,99.88720703,15.488,56.10366022,6.901347326,0.164685774,9.550832179,5614.385739,99.0,46.52928947,72.67381064
China,CHN,2012,99.94743347,16.256,56.02352781,7.04520023,0.141421178,7.863736449,6300.582352,99.0,45.42298074,81.38349829
China,CHN,2013,99.99295044,16.013,55.94339539,7.320154925,0.126224408,7.766150098,7020.385682,99.0,44.17670454,89.31856151
China,CHN,2014,100.0,16.39,55.86326298,7.304712872,0.14238397,7.425763656,7636.074223,99.0,43.08556811,92.84598562
China,CHN,2015,100.0,15.327,55.78313057,7.145131535,0.096751518,7.041328879,8016.446016,99.0,40.84133997,92.70071605
China,CHN,2016,100.0,15.282,55.70300409,7.105479936,0.103468084,6.848762205,8094.390375,99.0,39.5806215,97.36386675
China,CHN,2017,100.0,14.901,55.62287167,7.226160154,0.120213781,6.947200793,8817.045496,99.0,39.85169845,104.2265872
China,CHN,2018,100.0,13.325,55.54273924,7.533193134,0.097325992,6.749773832,9905.406118,99.0,39.68701182,116.3882038
China,CHN,2019,100.0,12.939,55.46264943,7.645435786,0.087302104,5.950500754,10143.86021,99.0,38.58740546,122.8132903
China,CHN,2020,100.0,11.73,55.46264943,7.756137907,0.086022844,2.238638356,10408.71912,99.0,37.8428218,120.5961882
Germany,DEU,2001,100.0,13.649,48.82201204,10.29361229,0.032204784,1.681468481,23628.32721,93.0,27.0691909,68.85395013
Germany,DEU,2002,100.0,12.894,48.63555581,10.10301134,0.033716689,-0.197973835,25197.2656,93.0,26.37872364,72.60008929
Germany,DEU,2003,100.0,11.995,48.74000172,10.13876361,0.033794051,-0.700116686,30310.3576,97.0,26.18678134,79.65893192
Germany,DEU,2004,100.0,11.329,48.77999828,9.95044613,0.028455774,1.175088132,34106.65812,96.0,26.40484946,87.76291359
Germany,DEU,2005,100.0,10.954,48.83300837,9.729463121,0.032373619,0.731707164,34520.23965,96.0,26.35329129,97.6097572
Germany,DEU,2006,100.0,10.721,48.59486121,9.886479572,0.03699801,3.816441913,36353.88033,96.0,26.97439918,105.5115846
